R,G,B,EX,LI,BF3,RF3,GF2
91.98,14.34,2.05,2500,R100,0.083333333,0.666666667,0.066666667
158.98,25.54,4.15,2500,R100,0.05,0.533333333,0.033333333
206.89,33.77,5.4,2500,R100,0.116666667,0.333333333,0.016666667
52.84,7.82,1.04,2500,R100,0.166666667,0.466666667,0.1
124.32,19.65,3.06,2500,R100,0.15,0.2,0.05
96.26,15.28,2.27,2500,R100,0.083333333,0.066666667,0.066666667
33.03,4.78,0.73,2500,R100,0.133333333,0.133333333,0.133333333
206.74,33.44,5.72,2500,R100,0.116666667,0.4,0.016666667
69.8,10.72,1.65,2500,R100,0.016666667,0.466666667,0.083333333
52.72,8.11,0.93,2500,R100,0.166666667,0.266666667,0.1
159.93,26.13,4.27,2500,R100,0.05,0.2,0.033333333
24.15,3.25,0.1,2500,R100,0.033333333,0.333333333,0.15
17.19,2.15,0.07,2500,R100,0.1,0.533333333,0.166666667
120.66,19.13,2.86,2500,R100,0.15,0.6,0.05
38.65,5.75,0.53,2500,R100,0.066666667,0.666666667,0.116666667
96.86,15.29,2.31,2500,R100,0.1,0.066666667,0.066666667
53.68,8.31,1.06,2500,R100,0.016666667,0.266666667,0.1
28.95,4.05,0.49,2500,R100,0.083333333,0.666666667,0.133333333
121.43,19.4,3.1,2500,R100,0.033333333,0.533333333,0.05
210.31,34.48,5.91,2500,R100,0.066666667,0.4,0.016666667
162.42,26.08,4.45,2500,R100,0.133333333,0.2,0.033333333
16.46,2.12,0,2500,R100,0.116666667,0.466666667,0.166666667
23.21,3.12,0.18,2500,R100,0.05,0.133333333,0.15
40.19,5.99,0.71,2500,R100,0.166666667,0.333333333,0.116666667
67.79,10.46,1.49,2500,R100,0.15,0.6,0.083333333
27.38,3.89,0.46,2500,R100,0.033333333,0.2,0.133333333
17.2,2.34,0.05,2500,R100,0.083333333,0.466666667,0.166666667
88.82,14.16,1.99,2500,R100,0.016666667,0.4,0.066666667
57.72,8.83,1.26,2500,R100,0.066666667,0.066666667,0.1
23.32,3.14,0.09,2500,R100,0.15,0.333333333,0.15
121.34,19.5,3.07,2500,R100,0.133333333,0.133333333,0.05
68.69,10.49,1.62,2500,R100,0.166666667,0.533333333,0.083333333
210.42,34.25,5.62,2500,R100,0.1,0.266666667,0.016666667
39.16,5.75,0.59,2500,R100,0.116666667,0.666666667,0.116666667
158.48,25.76,4.17,2500,R100,0.05,0.6,0.033333333
230.2,37.51,6.25,2500,R100,0.0143,0.05,0.0123
189.78,31.12,5.04,2500,R100,0.0286,0.1,0.0246
154.17,25.06,4.06,2500,R100,0.0429,0.15,0.0369
126.44,20.36,3.02,2500,R100,0.0572,0.2,0.0492
106.45,16.74,2.71,2500,R100,0.0715,0.25,0.0615
86.09,13.66,2.01,2500,R100,0.0858,0.3,0.0738
65.4,10.21,1.65,2500,R100,0.1001,0.35,0.0861
56.56,8.35,1.18,2500,R100,0.1144,0.4,0.0984
46.09,6.96,0.8,2500,R100,0.1287,0.45,0.1107
37.01,5.67,0.78,2500,R100,0.143,0.5,0.123
86.65,13.04,2.06,5000,R100,0.166666667,0.266666667,0.116666667
105.33,16.2,2.83,5000,R100,0.016666667,0.466666667,0.1
