R,G,B,EX,LI,3BF,3RF,2GF
0.77,4.7,17.14,2500,B100,0.166666667,0.266666667,0.1
6.61,27.61,81.63,2500,B100,0.05,0.2,0.033333333
1.75,8.91,23.61,2500,B100,0.033333333,0.333333333,0.15
0,1.2,3.6,2500,B100,0.1,0.533333333,0.166666667
0,1.34,3.96,2500,B100,0.15,0.6,0.05
0,1.11,2.44,2500,B100,0.066666667,0.666666667,0.116666667
8.23,27.48,101.71,2500,B100,0.1,0.066666667,0.066666667
3.98,18.41,49.73,2500,B100,0.016666667,0.266666667,0.1
0.01,0.94,2.03,2500,B100,0.083333333,0.666666667,0.133333333
0.67,6.15,12.94,2500,B100,0.033333333,0.533333333,0.05
2.05,9.86,24.59,2500,B100,0.066666667,0.4,0.016666667
3.15,12.29,42.27,2500,B100,0.133333333,0.2,0.033333333
0.05,1.13,3.71,2500,B100,0.116666667,0.466666667,0.166666667
4.73,18.59,60.5,2500,B100,0.05,0.133333333,0.15
0.39,2.94,9.94,2500,B100,0.166666667,0.333333333,0.116666667
0,0.88,2.36,2500,B100,0.15,0.6,0.083333333
3.4,15.68,45.67,2500,B100,0.033333333,0.2,0.133333333
0.05,2.03,5.51,2500,B100,0.083333333,0.466666667,0.166666667
2.01,11.69,27.35,2500,B100,0.016666667,0.4,0.066666667
8.52,30.55,108.85,2500,B100,0.066666667,0.066666667,0.1
0.12,2.97,10.01,2500,B100,0.15,0.333333333,0.15
4.67,16.07,58.38,2500,B100,0.133333333,0.133333333,0.05
0,1.01,3.21,2500,B100,0.166666667,0.533333333,0.083333333
3.19,14.13,42.37,2500,B100,0.1,0.266666667,0.016666667
0,0.44,1.17,2500,B100,0.116666667,0.666666667,0.116666667
0.08,3.37,6.42,2500,B100,0.05,0.6,0.033333333
2.59,11.28,38.93,5000,B100,0.166666667,0.266666667,0.116666667
2.42,14.79,31.76,5000,B100,0.016666667,0.466666667,0.1
0,2.41,4.58,5000,B100,0.1,0.666666667,0.066666667
0.05,3.2,6.45,5000,B100,0.05,0.6,0.133333333
13.47,42.58,158.93,5000,B100,0.116666667,0.066666667,0.083333333
14.42,59.16,168.93,5000,B100,0.033333333,0.2,0.05
7.05,32.97,84.23,5000,B100,0.066666667,0.333333333,0.016666667
7.75,29.29,98.73,5000,B100,0.083333333,0.133333333,0.15
0.54,5,14.96,5000,B100,0.133333333,0.4,0.166666667
0.55,4.95,12.4,5000,B100,0.15,0.533333333,0.033333333
20.62,77.97,242.61,5000,B100,0.016666667,0.333333333,0.116666667
0.7,7.21,13.51,5000,B100,0.033333333,0.6,0.083333333
0.01,1.11,2.63,5000,B100,0.1,0.666666667,0.133333333
1,5.29,16.24,5000,B100,0.166666667,0.4,0.066666667
16.56,63.52,197.2,5000,B100,0.05,0.133333333,0.05
0.45,3.85,9.02,5000,B100,0.133333333,0.533333333,0.033333333
0.72,5.62,13.54,5000,B100,0.066666667,0.466666667,0.166666667
7.36,30.74,89.21,5000,B100,0.083333333,0.266666667,0.016666667
15.45,51.8,192.08,5000,B100,0.116666667,0.066666667,0.1
2.98,12.12,43.84,5000,B100,0.15,0.2,0.15
12.88,41.78,155.62,5000,B100,0.1,0.066666667,0.116666667
3.11,16.83,40,5000,B100,0.016666667,0.4,0.133333333
3.13,14.57,43.47,5000,B100,0.066666667,0.266666667,0.166666667
17.11,66.41,202.58,5000,B100,0.033333333,0.133333333,0.083333333
0,1.21,3.44,5000,B100,0.133333333,0.6,0.15
0.12,3.17,6.42,5000,B100,0.083333333,0.666666667,0.066666667
1.83,12.06,24.44,5000,B100,0.05,0.533333333,0.033333333
8.81,36.68,104.64,5000,B100,0.116666667,0.333333333,0.016666667
0.12,3.1,9.51,5000,B100,0.166666667,0.466666667,0.1
2.98,10.5,38.26,5000,B100,0.15,0.2,0.05
19.62,65.77,231.99,5000,B100,0.083333333,0.066666667,0.066666667
6.02,21.87,80.64,5000,B100,0.133333333,0.133333333,0.133333333
2.57,12.46,34.1,5000,B100,0.116666667,0.4,0.016666667
2.94,17.27,36.91,5000,B100,0.016666667,0.466666667,0.083333333
2.49,9.93,35.27,5000,B100,0.166666667,0.266666667,0.1
13.62,54.85,162.13,5000,B100,0.05,0.2,0.033333333
3.83,18.22,47.56,5000,B100,0.033333333,0.333333333,0.15
0.1,2.9,7.61,5000,B100,0.1,0.533333333,0.166666667
0.04,3.03,7.58,5000,B100,0.15,0.6,0.05
0.01,2.62,5.16,5000,B100,0.066666667,0.666666667,0.116666667
16.47,55.08,199.98,5000,B100,0.1,0.066666667,0.066666667
8.3,36.53,98.19,5000,B100,0.016666667,0.266666667,0.1
0.1,2.13,4.79,5000,B100,0.083333333,0.666666667,0.133333333
2.03,12.51,25.85,5000,B100,0.033333333,0.533333333,0.05
4.25,20.18,50.39,5000,B100,0.066666667,0.4,0.016666667
6.92,24.94,83.89,5000,B100,0.133333333,0.2,0.033333333
0.19,2.88,7.64,5000,B100,0.116666667,0.466666667,0.166666667
10.13,37.09,120.9,5000,B100,0.05,0.133333333,0.15
1.25,6.21,20.57,5000,B100,0.166666667,0.333333333,0.116666667
0,1.89,4.88,5000,B100,0.15,0.6,0.083333333
7.11,31.06,91.83,5000,B100,0.033333333,0.2,0.133333333
0.67,4.54,12.11,5000,B100,0.083333333,0.466666667,0.166666667
4.48,23.94,54.87,5000,B100,0.016666667,0.4,0.066666667
17.45,61.41,213.11,5000,B100,0.066666667,0.066666667,0.1
1.23,6.06,19.72,5000,B100,0.15,0.333333333,0.15
9.52,32.34,117.34,5000,B100,0.133333333,0.133333333,0.05
0.04,2.41,6.92,5000,B100,0.166666667,0.533333333,0.083333333
6.85,28.34,83.91,5000,B100,0.1,0.266666667,0.016666667
0,1.31,2.83,5000,B100,0.116666667,0.666666667,0.116666667
0.84,7.52,13.77,5000,B100,0.05,0.6,0.033333333
5.21,20.49,67.24,10000,B100,0.166666667,0.266666667,0.116666667
5.52,30.53,64.37,10000,B100,0.016666667,0.466666667,0.1
0.34,5.21,9.77,10000,B100,0.1,0.666666667,0.066666667
0.6,6.89,12.54,10000,B100,0.05,0.6,0.133333333
25.97,85.14,255,10000,B100,0.116666667,0.066666667,0.083333333
29.26,118.08,255,10000,B100,0.033333333,0.2,0.05
15.64,66.46,171.14,10000,B100,0.066666667,0.333333333,0.016666667
15.87,58.61,194.31,10000,B100,0.083333333,0.133333333,0.15
2.13,10.57,30.23,10000,B100,0.133333333,0.4,0.166666667
1.86,10.46,25.87,10000,B100,0.15,0.533333333,0.033333333
42.17,152.91,255,10000,B100,0.016666667,0.333333333,0.116666667
2.31,14.8,27.58,10000,B100,0.033333333,0.6,0.083333333
0,2.9,5.61,10000,B100,0.1,0.666666667,0.133333333
2.38,10.76,32.53,10000,B100,0.166666667,0.4,0.066666667
33.53,125.59,255,10000,B100,0.05,0.133333333,0.05
1.43,8.43,18.96,10000,B100,0.133333333,0.533333333,0.033333333
2.09,11.38,27.37,10000,B100,0.066666667,0.466666667,0.166666667
15.34,61.4,175.53,10000,B100,0.083333333,0.266666667,0.016666667
32.15,102.89,255,10000,B100,0.116666667,0.066666667,0.1
6.77,23.43,85.02,10000,B100,0.15,0.2,0.15
26.16,83.26,255,10000,B100,0.1,0.066666667,0.116666667
7.08,33.69,80.02,10000,B100,0.016666667,0.4,0.133333333
6.91,28.97,85.73,10000,B100,0.066666667,0.266666667,0.166666667
34.52,130.87,255,10000,B100,0.033333333,0.133333333,0.083333333
